date,type,title,previous_value,current_value
2026-09-17,ranking_change,Gladiator,33,32
2026-09-17,ranking_change,Kill Bill: The Whole Bloody Affair,32,33
2026-09-17,ranking_change,WALL·E,56,55
2026-09-17,ranking_change,City Lights,55,56
2026-09-17,ranking_change,Incendies,98,97
2026-09-17,ranking_change,Ikiru,97,98
2026-09-17,ranking_change,To Kill a Mockingbird,118,117
2026-09-17,ranking_change,Vertigo,117,118
2026-09-17,ranking_change,Shutter Island,129,128
2026-09-17,ranking_change,Downfall,128,129
2026-09-17,ranking_change,Green Book,132,131
2026-09-17,ranking_change,Dangal,133,132
2026-09-17,ranking_change,Woman in the Dunes,131,133
2026-09-17,ranking_change,Hachi: A Dog's Tale,235,234
2026-09-17,ranking_change,Before Sunset,234,235
2026-09-17,ranking_change,Hotel Rwanda,239,238
2026-09-17,ranking_change,The Iron Giant,240,239
2026-09-17,ranking_change,The Seventh Seal,241,240
2026-09-17,ranking_change,Platoon,242,241
2026-09-17,ranking_change,The Chaos Class Failed the Class,238,242
2026-09-17,new_entry,Soorarai Pottru,,250
