timestamp,rank,name,price,change_24h,market_cap
9/4/2026 14:53,1,Bitcoin,"$81,297.78 ",4.40%,$1.62T
9/4/2026 14:53,2,Ethereum,"$2,542.32 ",5.74%,$308.44B
9/4/2026 14:53,3,Tether,$1.00 ,0.04%,$183.35B
9/4/2026 14:53,4,BNB,$719.41 ,2.53%,$95.79B
9/4/2026 14:53,5,XRP,$1.45 ,6.28%,$91.32B
9/4/2026 14:53,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 14:53,7,Solana,$104.32 ,3.72%,$61.06B
9/4/2026 14:53,8,TRON,$0.33 ,0.66%,$31.2B
9/4/2026 14:53,9,Hyperliquid,$86.77 ,5.76%,$21.83B
9/4/2026 14:53,10,Zcash,"$1,008.17 ",21.40%,$16.99B
9/4/2026 14:54,1,Bitcoin,"$81,184.44 ",4.35%,$1.63T
9/4/2026 14:54,2,Ethereum,"$2,539.77 ",5.75%,$310.2B
9/4/2026 14:54,3,Tether,$1.00 ,0.04%,$183.35B
9/4/2026 14:54,4,BNB,$719.56 ,2.55%,$95.81B
9/4/2026 14:54,5,XRP,$1.45 ,6.47%,$91.41B
9/4/2026 14:54,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 14:54,7,Solana,$104.34 ,3.71%,$61.07B
9/4/2026 14:54,8,TRON,$0.33 ,0.60%,$31.18B
9/4/2026 14:54,9,Hyperliquid,$86.70 ,5.66%,$21.81B
9/4/2026 14:54,10,Zcash,"$1,006.84 ",21.24%,$16.96B
9/4/2026 14:55,1,Bitcoin,"$81,184.44 ",4.35%,$1.63T
9/4/2026 14:55,2,Ethereum,"$2,545.62 ",5.89%,$310.2B
9/4/2026 14:55,3,Tether,$1.00 ,0.04%,$183.35B
9/4/2026 14:55,4,BNB,$719.56 ,2.55%,$95.81B
9/4/2026 14:55,5,XRP,$1.45 ,6.47%,$91.41B
9/4/2026 14:55,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 14:55,7,Solana,$104.34 ,3.71%,$61.07B
9/4/2026 14:55,8,TRON,$0.33 ,0.60%,$31.18B
9/4/2026 14:55,9,Hyperliquid,$86.68 ,5.79%,$21.8B
9/4/2026 14:55,10,Zcash,"$1,006.05 ",21.19%,$16.95B
9/4/2026 15:21,1,Bitcoin,"$81,143.52 ",4.49%,$1.62T
9/4/2026 15:21,2,Ethereum,"$2,530.22 ",5.71%,$308.3B
9/4/2026 15:21,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:21,4,BNB,$718.87 ,2.50%,$95.72B
9/4/2026 15:21,5,XRP,$1.45 ,6.48%,$91.27B
9/4/2026 15:21,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:21,7,Solana,$104.24 ,3.91%,$61.02B
9/4/2026 15:21,8,TRON,$0.33 ,0.39%,$31.14B
9/4/2026 15:21,9,Hyperliquid,$86.60 ,5.77%,$21.78B
9/4/2026 15:21,10,Zcash,"$1,002.61 ",20.91%,$16.89B
9/4/2026 15:22,1,Bitcoin,"$81,184.72 ",4.44%,$1.63T
9/4/2026 15:22,2,Ethereum,"$2,529.23 ",5.57%,$308.88B
9/4/2026 15:22,3,Tether,$1.00 ,0.03%,$183.35B
9/4/2026 15:22,4,BNB,$719.50 ,2.66%,$95.81B
9/4/2026 15:22,5,XRP,$1.45 ,6.85%,$91.41B
9/4/2026 15:22,6,USDC,$1.00 ,0.00%,$74.19B
9/4/2026 15:22,7,Solana,$104.51 ,4.22%,$61.18B
9/4/2026 15:22,8,TRON,$0.33 ,0.40%,$31.15B
9/4/2026 15:22,9,Hyperliquid,$86.88 ,6.13%,$21.85B
9/4/2026 15:22,10,Zcash,"$1,002.19 ",20.81%,$16.88B
9/4/2026 15:23,1,Bitcoin,"$81,097.26 ",4.51%,$1.62T
9/4/2026 15:23,2,Ethereum,"$2,523.53 ",5.35%,$308.42B
9/4/2026 15:23,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:23,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:23,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:23,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:23,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:23,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:23,9,Hyperliquid,$86.57 ,5.88%,$21.77B
9/4/2026 15:23,10,Zcash,"$1,002.64 ",21.00%,$16.89B
9/4/2026 15:25,1,Bitcoin,"$81,097.26 ",4.51%,$1.62T
9/4/2026 15:25,2,Ethereum,"$2,523.53 ",5.35%,$308.42B
9/4/2026 15:25,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:25,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:25,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:25,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:25,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:25,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:25,9,Hyperliquid,$86.62 ,5.97%,$21.79B
9/4/2026 15:25,10,Zcash,"$1,003.92 ",21.18%,$16.91B
9/4/2026 15:26,1,Bitcoin,"$81,038.17 ",4.38%,$1.62T
9/4/2026 15:26,2,Ethereum,"$2,521.87 ",5.31%,$308.42B
9/4/2026 15:26,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:26,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:26,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:26,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:26,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:26,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:26,9,Hyperliquid,$86.85 ,5.96%,$21.85B
9/4/2026 15:26,10,Zcash,"$1,003.90 ",20.95%,$16.91B
9/4/2026 15:27,1,Bitcoin,"$81,038.17 ",4.38%,$1.62T
9/4/2026 15:27,2,Ethereum,"$2,521.87 ",5.31%,$308.42B
9/4/2026 15:27,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:27,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:27,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:27,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:27,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:27,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:27,9,Hyperliquid,$86.85 ,5.96%,$21.85B
9/4/2026 15:27,10,Zcash,"$1,003.90 ",20.95%,$16.91B
9/4/2026 15:28,1,Bitcoin,"$81,042.65 ",4.45%,$1.62T
9/4/2026 15:28,2,Ethereum,"$2,521.36 ",5.27%,$308.42B
9/4/2026 15:28,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:28,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:28,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:28,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:28,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:28,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:28,9,Hyperliquid,$86.74 ,6.11%,$21.82B
9/4/2026 15:28,10,Zcash,"$1,005.10 ",21.27%,$16.93B
9/4/2026 15:30,1,Bitcoin,"$81,042.65 ",4.45%,$1.62T
9/4/2026 15:30,2,Ethereum,"$2,521.36 ",5.27%,$308.42B
9/4/2026 15:30,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:30,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:30,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:30,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:30,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:30,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:30,9,Hyperliquid,$86.85 ,5.96%,$21.85B
9/4/2026 15:30,10,Zcash,"$1,003.90 ",20.95%,$16.91B
9/4/2026 15:31,1,Bitcoin,"$81,042.65 ",4.45%,$1.62T
9/4/2026 15:31,2,Ethereum,"$2,521.36 ",5.27%,$308.42B
9/4/2026 15:31,3,Tether,$1.00 ,0.02%,$183.33B
9/4/2026 15:31,4,BNB,$719.12 ,2.53%,$95.75B
9/4/2026 15:31,5,XRP,$1.45 ,6.56%,$91.22B
9/4/2026 15:31,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:31,7,Solana,$104.36 ,4.02%,$61.09B
9/4/2026 15:31,8,TRON,$0.33 ,0.36%,$31.14B
9/4/2026 15:31,9,Hyperliquid,$86.86 ,6.28%,$21.85B
9/4/2026 15:31,10,Zcash,"$1,004.03 ",21.14%,$16.92B
9/4/2026 15:31,1,Bitcoin,"$81,133.20 ",4.58%,$1.62T
9/4/2026 15:31,2,Ethereum,"$2,524.00 ",5.43%,$307.98B
9/4/2026 15:31,3,Tether,$1.00 ,0.05%,$183.36B
9/4/2026 15:31,4,BNB,$718.99 ,2.47%,$95.74B
9/4/2026 15:31,5,XRP,$1.45 ,6.51%,$91.13B
9/4/2026 15:31,6,USDC,$1.00 ,0.02%,$74.19B
9/4/2026 15:31,7,Solana,$104.26 ,3.99%,$61.03B
9/4/2026 15:31,8,TRON,$0.33 ,0.31%,$31.13B
